year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1968,House,90,1,1,H.Res.,7,HRES7-90,House Rules,previous question,1967-01-10,Rejected,196,225,Y,Y=Right; N=Wrong,4,https://voteview.com/rollcall/RH0900004,,2,"Conservatives of both parties ganged up on the opening day of the 90th Congress to restore to the House Rules Committee some of its power to stall legislation indefinitely. The vote served notice that the Republican-Dixiecrat coalition was back in the saddle. It was a major step backwards from the accomplishments of the liberal 89th Congress. A motion to continue the rules reform which had been adopted in the 89th Congress was defeated, 196-225, on Jan. 10, 1967. For - right; Against - wrong."
1968,House,90,1,2,H.R.,7819,HR7819-90,Aid to Education,amendment,1967-05-24,Adopted,230,185,N,Y=Wrong; N=Right,59,https://voteview.com/rollcall/RH0900059,,2,"The thrust of the federal program of aid to education has been to encourage local school districts to develop programs to meet the special education needs of children from poor families who live in slum areas and start life with two strikes against them. But the House adopted a ""states' rights"" amendment which turned over federal funds to the control of state boards of education instead of putting it where the need is greatest. The labor-opposed amendment passed the House, 230-185, on May 24, 1967. For - wrong; Against - right."
1968,House,90,1,3,S.J.Res.,81,SJRES81-90,Compulsory Arbitration,passage,1967-07-17,Passed,244,148,N,Y=Wrong; N=Right,93,https://voteview.com/rollcall/RH0900093,,2,"Striking railroad shopcraft workers were forced back to work when Congress passed a compulsory arbitration law. The labor movement vigorously opposed the law, warning that collective bargaining couldn't work if management knew that its workers would not be permitted to strike. Rail management supported compulsory arbitration, adding to the evidence that management's bargaining tactics were based on a conviction that Congress would outlaw a railroad strike. The House voted for compulsory arbitration, 244-148, on July 17, 1967. For - wrong; Against - right."
1968,House,90,1,4,H.R.,7977,HR7977-90,Federal Pay Raise,motion to recommit,1967-10-11,Rejected,199,211,N,Y=Wrong; N=Right,158,https://voteview.com/rollcall/RH0900158,,2,"A three-step pay raise sought to bring salaries of postal and other federal employes closer to private industry levels. The House narrowly defeated a Republican motion to kill the second and third step of the increase, leaving only the first step. The pay-cutting move was rejected, 199-211, on Oct. 11, 1967. For - wrong; Against - right."
1968,House,90,1,5,H.J.Res.,888,HJRES888-90,Appropriations,amendment,1967-10-18,Adopted,238,164,N,Y=Wrong; N=Right,166,https://voteview.com/rollcall/RH0900166,,2,"Late in the first session, conservatives sought to force an $8.5 billion cut in the President's budget. The brunt of the cuts would have fallen on education, health, housing, anti-poverty and similar programs. The Senate managed to reduce the amount of the 1967 cut, but the action foreshadowed the big victory of the economy bloc in the 1968 session. The House voted for the budget slash, 238-164, on Oct. 18, 1967. For - wrong; Against - right."
1968,House,90,2,6,H.R.,15414,HR15414-90,Taxes - Budget Cuts,motion,1968-05-29,Rejected,137,259,Y,Y=Right; N=Wrong,332,https://voteview.com/rollcall/RH0900332,,2,"Conservatives insisted on - and got - a deep budget cut in return for going along with a tax increase the President said was essential to the nation's economy. Earlier, Administration supporters sought to reduce the amount of the budget slash - a compromise which would have permitted high priority programs to continue while reducing funds for less urgent matters. This compromise was rejected by the House, 137-259, on May 29, 1968. For - right; Against - wrong."
1968,House,90,1,7,H.R.,12144,HR12144-90,Meat Inspection,motion,1967-11-29,Rejected,166,207,Y,Y=Right; N=Wrong,225,https://voteview.com/rollcall/RH0900225,,2,"One of the big accomplishments of the 90th Congress was extension of federal meat inspection standards to the billions of pounds of meat which had been exempt because it wasn't sold across state lines. The Senate made major improvements in the original, very weak House bill. The conservative coalition voted down a motion to accept the Senate amendments which required states to match federal inspection standards. A public outcry finally brought approval of a good bill, but this attempt to strengthen the meat inspection law was beaten, 166-207, on Nov. 29, 1967. For - right; Against - wrong."
1968,House,90,2,8,H.Res.,1100,HRES1100-90,Civil Rights,previous question,1968-04-10,Agreed to,229,195,Y,Y=Right; N=Wrong,294,https://voteview.com/rollcall/RH0900294,,3,"Final passage of the 1968 civil rights legislation would have been endangered if the House had not agreed to accept Senate amendments and instead insisted on sending the bill to a conference committee. The legislation outlawed housing discrimination, protected civil rights workers, and made it a federal crime to enter a state with the intent to take part in a riot. A conference would have opened the door to a new Senate filibuster and endangered the legislation. Church, labor and civil rights organizations pressed for a House vote on acceptance of the Senate-passed bill. The resolution which cleared the way for final passage was adopted, 229-195, on Apr. 10, 1968. For - right; Against - wrong."
1968,House,90,2,9,H.R.,17989,HR17989-90,Housing,passage,1968-07-10,Passed,295,114,Y,Y=Right; N=Wrong,374,https://voteview.com/rollcall/RH0900374,,3,"Decent homes for all Americans would go a long way toward meeting the nation's most pressing problems. An important step was taken in this year's housing legislation. It provides for building 1.7 million new or rehabilitated housing units in the next three years for low and moderate income families. It includes interest subsidies to help low income families buy homes and incentives for apartment-builders to provide low-rent units. Other sections of the legislation expand rent supplement and model cities programs. The housing bill was passed, 295-114, on July 10, 1968. For - right; Against - wrong."
1968,House,90,1,10,H.R.,9960,HR9960-90,Model Cities,motion to recommit,1967-05-17,Rejected,193,213,N,Y=Wrong; N=Right,55,https://voteview.com/rollcall/RH0900055,,3,"A Republican amendment would have wrecked the model cities program last year by eliminating $225 million to help cities renovate entire neighborhoods through a combination of better housing and better services and facilities. As it is, the money available has been inadequate to meet the needs of the cities. The program, launched by the 89th Congress, has been one of the most promising approaches to the nation's urban problems. The battle in the 90th Congress has been over the financing needed to make this promise a reality. The motion to gut the program was rejected, 193-213, on May 17, 1967. For - wrong; Against - right."
