year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1995,House,104,1,1,H.R.,5,HR5-104,Unfunded Mandates/Labor Standards,amendment,1995-01-23,Rejected,161,263,Y,Y=Right; N=Wrong,26,https://voteview.com/rollcall/RH1040026,"date: scorecard prints Jan. 25; roll call 26 is 23 Jan 1995. The printed tally 161-263 is correct. The House took no vote on H.R. 5 on 25 January. The key does not force this row: 161-263 occurs twice on 23 Jan, and Voteview's dtl_desc identifies this record as the Sanders en bloc amendment exempting minimum labor protection standards (roll 26), not the Spratt amendment on hazardous substances (roll 27).",1,"During consideration of a bill to ban all unfunded mandates, an amendment was offered to exempt from the ban such labor standards as child labor and minimum wage laws. While the AFL-CIO opposed the entire bill because it is a smokescreen to attack or eliminate all federal regulations, the AFL-CIO supported the amendment as an attempt to make the bill less onerous to workers. It failed Jan. 25 by a 161-263 vote. (DEM: 160-35; REP: 0-228; I: 1-0) Yes - Right. No - Wrong."
1995,House,104,1,2,H.J.Res.,1,HJRES1-104,Balanced Budget Amendment/Final Passage,passage,1995-01-26,Passed,300,132,N,Y=Wrong; N=Right,47,https://voteview.com/rollcall/RH1040047,,1,"The AFL-CIO opposed a resolution calling for a constitutional amendment requiring a balanced federal budget because of massive cuts (about $1 trillion) in vital programs, the crippling of Congress' ability to fight recessions and inflation and its distortion of constitutional checks and balances. GOP backers of the bill refused to exclude and protect Social Security from the amendment's scope. The resolution passed the House Jan. 26 by a 300-132 vote. (DEM: 72-129; REP: 228-2; I: 0-1) Yes - Wrong. No - Right."
1995,House,104,1,3,H.R.,1022,HR1022-104,Risk Assessment/Workplace Safety,passage,1995-02-28,Passed,286,141,N,Y=Wrong; N=Right,176,https://voteview.com/rollcall/RH1040176,,1,"The bill, opposed by the AFL-CIO, is part of the GOP's attack on workplace health and safety, environmental and public safety standards. It would place financial considerations above the health and safety of workers by requiring cost-benefit and risk-assessment analysis procedures that would derail any attempt to develop new public health, safety or environmental standards. It passed the House Feb. 28 by a 286-141 vote. (DEM: 60-138; REP: 226-2; I: 0-1) Yes - Wrong. No - Right."
1995,House,104,1,4,H.R.,1215,HR1215-104,GOP Tax Cuts For Rich,passage,1995-04-05,Passed,246,188,N,Y=Wrong; N=Right,286,https://voteview.com/rollcall/RH1040286,,1,"This is a $189 billion tax-cut package that gives most of its benefits to wealthy families and businesses. It also contains big business tax breaks and $189 billion in spending cuts aimed at services and programs that benefit middle- and lower-income families. Opposed by the AFL-CIO, it passed the House April 5 by a 246-188 vote. (DEM: 27-176; REP: 219-11; I: 0-1) Yes - Wrong. No - Right."
1995,House,104,1,5,H.R.,2002,HR2002-104,Transportation Appropriations/Transit Workers Section 13(c),amendment,1995-07-25,Adopted,233,186,Y,Y=Right; N=Wrong,554,https://voteview.com/rollcall/RH1040554,,1,"An AFL-CIO-opposed provision of the 1996 transportation appropriations bill would have repealed Section 13(c) of the Mass Transit Act, which protects the collective bargaining of transit workers and offers certain job protections. An amendment, backed by the AFL-CIO, to strip the repeal from the bill passed the House July 25 by a 233-186 vote. (DEM: 188-5; REP: 44-181; I: 1-0) Yes - Right. No - Wrong."
1995,House,104,1,6,H.R.,2127,HR2127-104,Labor/HHS Appropriations/Final Passage,passage,1995-08-04,Passed,219,208,N,Y=Wrong; N=Right,612,https://voteview.com/rollcall/RH1040612,,1,"The AFL-CIO strongly opposed this bill, which slashes funds from important workplace safety and labor protection programs and nearly $4 billion from education and training services. The cuts would eliminate Goals 2000 and cut deeply into OSHA, MSHA, the NLRB and a myriad of training programs, including NAFTA-TAA, summer jobs and other youth jobs programs, as well as programs for children with disabilities and drug-free school programs. The bill passed Aug. 4 by a 219-208 vote. (DEM: 6-189; REP: 213-18; I: 0-1) Yes - Wrong. No - Right."
1995,House,104,1,7,H.R.,743,HR743-104,TEAM Act/Company Unions,passage,1995-09-27,Passed,221,202,N,Y=Wrong; N=Right,677,https://voteview.com/rollcall/RH1040677,,1,"The bill would repeal section 8(a)2 of the National Labor Relations Act, which forbids the creation of employer-controlled and -dominated employee groups to deal with wages, benefits and working conditions - much like company unions that flourished in the 1920s and 1930s before the creation of the NLRA. Opposed by the AFL-CIO, the bill passed the House Sept. 27 by a 221-202 vote. (DEM: 15-179; REP: 206-22; I: 0-1) Yes - Wrong. No - Right."
1995,House,104,1,8,H.R.,2425,HR2425-104,Medicare/Final Passage,passage,1995-10-19,Passed,231,201,N,Y=Wrong; N=Right,714,https://voteview.com/rollcall/RH1040714,,1,The bill slashes some $270 billion from Medicare and would increase beneficiaries' monthly premiums and significantly cut hospital reimbursements. It also puts at risk use of beneficiaries' own doctors. The bill passed on Oct. 19 by a vote of 231-201. It was later added to the budget reconciliation bill. (DEM: 4-194; REP: 227-6; I: 0-1) Yes - Wrong. No - Right.
1995,House,104,1,9,H.R.,2491,HR2491-104,Budget Reconciliation/Final Passage,passage,1995-10-26,Passed,227,203,N,Y=Wrong; N=Right,726,https://voteview.com/rollcall/RH1040726,,1,"This bill combines all the GOP entitlement spending cuts in Medicaid, student loans, federal retiree pensions and more, with tax cuts aimed mostly to benefit big business and people making up to $200,000 a year. The Medicaid program would be cut by $170 billion and block-granted, which would hurt poor children and the elderly. It also would repeal standards for nursing homes. Opposed by the AFL-CIO, the bill passed Oct. 26 by 227-203. (DEM: 4-192; REP: 223-10; I: 0-1) Yes - Wrong. No - Right."
1995,House,104,1,10,H.R.,2539,HR2539-104,Rail Workers' Labor Protections,amendment,1995-11-14,Adopted,241,184,Y,Y=Right; N=Wrong,775,https://voteview.com/rollcall/RH1040775,,1,"A bill to eliminate the Interstate Commerce Commission also contained provisions that would have repealed certain labor protections for rail workers on some railroads when their lines are merged or acquired by new owners. An amendment to the bill, backed by the AFL-CIO, called for maintaining those protections. It was approved by the House Nov. 14 by a 241-184 vote. (DEM: 190-2; REP: 50-182; I: 1-0) Yes - Right. No - Wrong."
1995,House,104,1,11,H.R.,2491,HR2491-104,Budget Reconciliation/Conference Report,conference report,1995-11-17,Adopted,237,189,N,Y=Wrong; N=Right,794,https://voteview.com/rollcall/RH1040794,,1,"While some changes were made in the House-passed bill, the conference report kept the major elements opposed by the AFL-CIO. It was approved by the House Nov. 17 by a 237-189 vote. (DEM: 5-187; REP: 232-1; I: 0-1) Yes - Wrong. No - Right."
