year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
2022,House,117,2,1,H.R.,3076,HR3076-117,Postal Service Reform Act,passage,2022-02-08,Passed,342,92,Y,Y=Right; N=Wrong,485,https://voteview.com/rollcall/RH1170485,,1,"This bill would bring financial stability to the Postal Service. First, it eliminates the mandate that the Postal Service pre-fund its retiree health care benefits decades in advance, a requirement asked of no other public or private agency. Second, it adopts private sector best practices by maximizing the integration of postal annuitants into Medicare – a program to which the Postal Service and its workers have contributed over $34 billion. Additionally, the legislation benefits the public by codifying the mandate to provide six-day mail delivery."
2022,House,117,2,2,H.R.,3967,HR3967-117,Honoring Our Promise to Address Comprehensive Toxics (PACT) Act of 2021,passage,2022-03-03,Passed,256,174,Y,Y=Right; N=Wrong,504,https://voteview.com/rollcall/RH1170504,,1,"The PACT Act addresses a number of VA healthcare issues. It extends VA healthcare eligibility to veterans and extends presumptions to conditions relating to burn pit, toxic-exposure and Agent Orange exposure. Veterans will benefit from a simplified eligibility process and VA staff will be able to process their claims without delay. The legislation will improve the ability of VA healthcare staff to provide services for veterans exposed to toxic substances and make long needed investments in the claims process, medical personnel, claims personnel and facilities to improve access to all eligible veterans."
2022,House,117,2,3,H.R.,963,HR963-117,FAIR Act,amendment,2022-03-17,Rejected,184,246,N,Y=Wrong; N=Right,526,https://voteview.com/rollcall/RH1170526,,1,"The AFL-CIO opposed the vote for the Fitzgerald Amendment to the FAIR Act as it was a blatantly anti-union amendment that sought to undermine union workers by voiding their negotiated dispute resolution procedures. Collectively bargained arbitration clauses covering contract disputes pose none of the dangers threatened by “agreements” forced on unrepresented, individual employees by their employers as a condition of employment."
2022,House,117,2,4,H.R.,903,HR903-117,Rights for the Transportation Security Administration Workforce Act,passage,2022-05-12,Passed,220,201,Y,Y=Right; N=Wrong,619,https://voteview.com/rollcall/RH1170619,,1,"The Act would provide TSA officers with the same statutory rights to union representation, due process and fair pay under title 5 of the US code as most other federal workers, including uniformed officers at other Department of Homeland Security agencies."
2022,House,117,2,5,H.R.,7900,HR7900-117,National Defense Authorization Act for Fiscal Year 2023 (Amendment #3),amendment,2022-07-13,Adopted,220,209,Y,Y=Right; N=Wrong,759,https://voteview.com/rollcall/RH1170759,,1,"This amendment establishes a contracting preference for contractors who commit to remaining neutral in organizing campaigns, commit to not break strikes, or who have a collective bargaining agreement."
2022,House,117,2,6,H.R.,7900,HR7900-117,National Defense Authorization Act for Fiscal Year 2023 (Amendment #454),amendment,2022-07-14,Adopted,215,201,Y,Y=Right; N=Wrong,791,https://voteview.com/rollcall/RH1170791,,2,This amendment prohibits the Executive Branch from moving competitive service positions to excepted service without the agreement of Congress and prevents the politicization of civil service jobs.
2022,House,117,2,7,H.R.,4346,HR4346-117,CHIPS and Science Act,passage,2022-07-28,Passed,243,187,Y,Y=Right; N=Wrong,851,https://voteview.com/rollcall/RH1170851,,2,"The CHIPS Act of 2022, which contains $52 billion for investment in domestic semiconductor funding, including $2 billion in funding for production of mature semiconductor technologies in the United States that are necessary to the production of cars, trucks, and agricultural equipment. Passage of this legislation will ensure access to critical technologies, increase national security, and remove impediments and roadblocks to the domestic production of future technologies. The need for this legislation has become apparent with the supply shortages that have plagued domestic production for the past several years."
2022,House,117,2,8,H.R.,5376,HR5376-117,Inflation Reduction Act,passage,2022-08-12,Passed,220,207,Y,Y=Right; N=Wrong,867,https://voteview.com/rollcall/RH1170867,,2,"By making historic investments in domestic energy production and manufacturing, bringing down the cost of prescription drugs and expanding coverage under the Affordable Care Act, this bill offers our country a real chance to build a safer, healthier, and cleaner future. The Inflation Reduction Act will dramatically lower the cost of clean energy, positioning the U.S. to make deep carbon emission reductions, while preserving and creating millions of family supporting jobs, and manufacturing more critical technology here at home. The package also initiates major health care reforms by authorizing Medicare to tackle the skyrocketing cost of prescription drugs and preventing premium hikes for 13 million Americans covered under the Affordable Care Act. Finally, the bill provides much needed reform to our tax system, which has allowed the mega-rich and the biggest corporations to pay far too little for far too long."
2022,House,117,2,9,H.R.,8873,HR8873-117,Presidential Election Reform Act,passage,2022-09-21,Passed,229,203,Y,Y=Right; N=Wrong,896,https://voteview.com/rollcall/RH1170896,"vote_question 'veto override' -> 'passage': the roll call's own question is 'On Passage'. The scorecard's value was inferred from its prose, which the 11 Aug 2026 review measured at ~8% wrong",2,The Presidential Election Reform Act (H.R. 8873) would help prevent another attempted coup following a Presidential election by ensuring that the electoral votes tallied by Congress accurately reflect each state’s public vote for President. It makes clear that the Vice President does not have the power to accept or reject disputes over electors and that state legislatures cannot override the popular vote in their states.
2022,House,117,2,10,H.Con.Res.,119,HCONRES119-117,Rail Workers Sick Leave,passage,2022-11-30,Passed,221,207,Y,Y=Right; N=Wrong,938,https://voteview.com/rollcall/RH1170938,,2,"Unlike many workers, railroad employees are not guaranteed a single paid sick day. This resolution provides for seven days of sick leave for railroad employees. Rail workers are an integral part of the supply chain that makes America's economy run. As essential workers, they showed up day in and day out through the pandemic to keep our country moving forward. They deserve good wages, fair treatment and vital protections like paid sick leave."
2022,House,117,2,11,H.R.,7946,HR7946-117,Veteran Service Recognition Act,passage,2022-12-06,Passed,220,208,Y,Y=Right; N=Wrong,950,https://voteview.com/rollcall/RH1170950,,3,"This bill would provide vital protections for noncitizen veterans who have served our country with honor. The Act puts forth a series of provisions that would help repatriate our military veterans and prevent the unjust and arbitrary deportation of veterans in the future. Rather than leaving noncitizen veterans to navigate our complex immigration system on their own, H.R. 7946 would require U.S. Citizenship and Immigration Services the Department of Defense to facilitate opportunities for recruits and veterans to obtain U.S. citizenship and establish a committee to advise on any case involving the removal of a service member or veteran."
2022,House,117,2,12,H.R.,1948,HR1948-117,VA Employee Fairness Act,passage,2022-12-15,Passed,219,201,Y,Y=Right; N=Wrong,977,https://voteview.com/rollcall/RH1170977,,3,This bill provides the same collective bargaining rights to tens of thousands of frontline employees at the Department of Veterans Affairs who care for our nation’s veterans as other federal employees at the VA.
2022,House,117,2,13,H.R.,2617,HR2617-117,Omnibus Act of 2023,passage,2022-12-23,Passed,225,201,Y,Y=Right; N=Wrong,996,https://voteview.com/rollcall/RH1170996,,3,"This omnibus package provides a much needed increase in non-defense discretionary funding and critical investments in Medicaid, education, children's health and worker protection programs. After nearly 10 years, the National Labor Relations Board (NLRB) will finally receive a desperately needed boost in funding. The bill also includes increased funding for Registered Apprenticeships, projects authorized by the Infrastructure Investment and Jobs Act, and funds to implement the CHIPS and Science Act of 2022. It also includes the Pregnant Workers Fairness Act and supplementary funding for the 9/11 World Trade Center Health Program."
