year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
2023,House,118,1,1,H.R.,382,HR382-118,Pandemic is Over Act,passage,2023-01-31,Passed,220,210,N,Y=Wrong; N=Right,99,https://voteview.com/rollcall/RH1180099,,1,"House Republicans were determined to stop the federal government’s response to COVID-19, despite thousands of lives still being lost every week and ongoing strain on health care workers. The bill would curtail important aspects of the government’s response, eliminating access to testing and treatment, and causing millions of Americans to abruptly lose Medicaid coverage."
2023,House,118,1,2,H.J.Res.,30,HJRES30-118,"Congressional Review Act resolution to block the Department of Labor rule relating to “Prudence and Loyalty in Selecting Plan Investments...""",passage,2023-02-28,Passed,216,204,N,Y=Wrong; N=Right,123,https://voteview.com/rollcall/RH1180123,,1,"This resolution would have overturned a Department of Labor (DOL) rule that permits private sector retirement plan trustees to consider environmental, social and governance (ESG) factors when selecting retirement investments. The DOL rule is consistent with trustees’ fiduciary duties because prudent investment requires the consideration of all relevant information which includes ESG factors."
2023,House,118,1,3,H.R.,2811,HR2811-118,"Limit, Save, Grow Act of 2023",passage,2023-04-26,Passed,217,215,N,Y=Wrong; N=Right,198,https://voteview.com/rollcall/RH1180198,,1,"This bill would slash domestic spending by $144 billion, cutting vital programs by up to 22%. The cuts would jeopardize Medicaid coverage for 10 million low-income Americans, eliminate food assistance for millions of families and cancel debt relief for 40 million student borrowers. The plan also would jeopardize funds for veterans’ medical care, clean energy projects, COVID-19 vaccines and public transit subsidies."
2023,House,118,1,4,H.R.,2,HR2-118,Secure the Border Act of 2023,passage,2023-05-11,Passed,219,213,N,Y=Wrong; N=Right,208,https://voteview.com/rollcall/RH1180208,,1,"Rather than uphold humanitarian principles and protect the rights of all workers regardless of immigration status, this punitive immigration bill focuses on deterrence, detention and removal. It would restrict asylum, reduce protections for children, limit relief options, erode due process, allocate funds for a border wall, cut humanitarian program funding, and support detention and deportation."
2023,House,118,1,5,H.R.,1163,HR1163-118,Protecting Taxpayers and Victims of Unemployment Fraud Act,passage,2023-05-11,Passed,230,200,N,Y=Wrong; N=Right,210,https://voteview.com/rollcall/RH1180210,,1,"Rather than targeting intentional fraud, as the Department of Labor Office of Inspector General recommended, this bill would penalize unemployment insurance (UI) recipients for inadvertent errors in program administration. It would suspend the requirement that merit-based public employees administer the UI program for seven years, undermining program stability and expertise."
2023,House,118,1,6,H.J.Res.,45,HJRES45-118,Congressional Review Act resolution to block the Department of Education rule relating to “Waivers and Modifications of Federal Student Loans”,passage,2023-05-24,Passed,218,203,N,Y=Wrong; N=Right,233,https://voteview.com/rollcall/RH1180233,,2,"This resolution aimed at overturning President Biden’s student debt relief program would have denied relief from a broken student loan system to 43 million individuals. Ninety percent of the beneficiaries of Biden’s program earn less than $75,000 a year."
2023,House,118,1,7,H.R.,277,HR277-118,Regulations from the Executive in Need of Scrutiny Act of 2023 (REINS Act),passage,2023-06-14,Passed,221,210,N,Y=Wrong; N=Right,264,https://voteview.com/rollcall/RH1180264,,2,"The REINS Act is an extreme measure jeopardizing federal agencies’ ability to issue important rules that protect workers and the public overall. The bill would mandate congressional approval for all major rules within 70 legislative days, allowing politics, not scientific judgment, to dictate regulatory actions. This legislation is harmful and unnecessary; Congress already has mechanisms to disapprove or block rule implementation without the need for additional, burdensome requirements."
2023,House,118,1,8,H.R.,288,HR288-118,Separation of Powers Restoration Act of 2023,passage,2023-06-15,Passed,220,211,N,Y=Wrong; N=Right,270,https://voteview.com/rollcall/RH1180270,"vote_question 'amendment' -> 'passage': the roll call's own question is 'On Passage'. The scorecard's value was inferred from its prose, which the 11 Aug 2026 review measured at ~8% wrong; result 'Adopted' -> 'Passed', which follows the roll call ('Passed') and the collection's convention for a passage",2,"This bill would undermine the principle of separation of powers, a fundamental element of our government, by upsetting long-standing principles of judicial review of agency interpretation of laws and regulations. It would prevent courts from deferring to agencies’ expert interpretations of ambiguous laws. Instead, it would mandate that courts substitute their own judgment, shifting power to unelected judges and undermining agency expertise. This change could jeopardize public health, safety and financial security."
2023,House,118,1,9,H.R.,3799,HR3799-118,CHOICE Arrangement Act,passage,2023-06-21,Passed,220,209,N,Y=Wrong; N=Right,281,https://voteview.com/rollcall/RH1180281,,2,"This bill would loosen regulation of association health plans, allowing employers to establish plans that fail to provide essential health benefits. It would also allow employers to offer health plans that are not backed by adequate reserves."
2023,House,118,1,10,H.R.,5860,HR5860-118,"Continuing Appropriations Act, 2024 and Other Extensions Act",passage,2023-09-30,Passed,335,91,Y,Y=Right; N=Wrong,512,https://voteview.com/rollcall/RH1180512,,2,"This short-term continuing resolution averted a government shutdown by funding operations until Nov. 17, 2023. It addressed the Republican blockade of bipartisan appropriations bills, extended the Federal Aviation Administration’s authorization and safeguarded pay for federal firefighters. The resolution also extended critical health care programs, preventing hardships for workers, military personnel, air traffic controllers, and beneficiaries of the food assistance programs known as SNAP and WIC."
