year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1971,Senate,92,1,1,H.J.Res.,468,HJRES468-92,SST Funds,amendment,1971-03-24,Rejected,46,51,Y,Y=Right; N=Wrong,23,https://voteview.com/rollcall/RS0920023,,4,"The Senate refused to appropriate funds for the development of a supersonic transport airplane. The AFL-CIO supported funding for the SST in order to revive a depressed aerospace industry and its dwindling work force. The Senate rejected the measure on Mar. 24, 1971 by a 46-51 vote. For - right. Against - wrong."
1971,Senate,92,1,2,S.,31,S31-92,Public Service Jobs,motion to recommit,1971-04-01,Rejected,29,44,N,Y=Wrong; N=Right,26,https://voteview.com/rollcall/RS0920026,,4,"As one means of improving the economy, the AFL-CIO strongly supported congressional efforts to enact a public service employment program providing jobs for the unemployed in the public sector. The Administration opposed this approach to reducing unemployment as the President had vetoed similar legislation in 1970. The opposition took form in a motion by Sen. Prouty (R-Vt.) which would have in effect killed the measure by recommitting the bill. The motion was defeated by a 29-44 vote on Apr. 1, 1971. For - wrong. Against - right."
1971,Senate,92,1,3,S.,575,S575-92,Public Works Veto,veto override,1971-07-14,Rejected,57,36,Y,Y=Right; N=Wrong,120,https://voteview.com/rollcall/RS0920120,,4,"Despite continued high unemployment, the Administration opposed a $2 billion accelerated public works program aimed at providing 170,000 jobs and needed facilities in communities with heavy joblessness. Senate efforts to override the Presidential veto on the accelerated public works bill fell five votes short of the necessary two-thirds majority in a 57-36 vote on July 14, 1971. For overriding - right. Against - wrong."
1971,Senate,92,1,4,H.R.,8432,HR8432-92,Lockheed Jobs,passage,1971-08-02,Passed,49,48,Y,Y=Right; N=Wrong,164,https://voteview.com/rollcall/RS0920164,,4,"Some 72,000 jobs were saved by a bill providing federal guarantees on bank loans of $250 million to Lockheed Aircraft Corp. The loan guarantee was narrowly approved on Aug. 2, 1971 by a 49-48 vote. For - right. Against - wrong."
1971,Senate,92,1,5,S.Res.,9,SRES9-92,Filibuster Rule,cloture,1971-03-09,Rejected,55,39,Y,Y=Right; N=Wrong,9,https://voteview.com/rollcall/RS0920009,,4,The Senate again failed to muster a two-thirds vote to stop a filibuster that has prevented action on a motion to change the Senate rules so that it would only require a three-fifths vote to limit debate and break a filibuster. The majority for invoking cloture and bringing the rules reform to a vote was 55-39 on Mar. 9. This was eight short of a two-thirds vote. For rules reform - right. Against - wrong.
1971,Senate,92,1,6,S.,1316,S1316-92,Meat Inspection,amendment,1971-07-29,Rejected,38,52,N,Y=Wrong; N=Right,155,https://voteview.com/rollcall/RS0920155,,4,"An attempt by Sen. Mathias (R-Md.) to weaken existing federal meat inspection laws by exempting meat products that cross state lines from federal inspection was rejected by the Senate on July 29, 1971 by a 38-52 vote. If passed, this proposal would have left inspection in the hands of weaker state inspection agencies. For - wrong. Against - right."
1971,Senate,92,1,7,H.R.,10947,HR10947-92,Tax Reform,amendment,1971-11-15,Rejected,39,40,Y,Y=Right; N=Wrong,308,https://voteview.com/rollcall/RS0920308,,4,"An amendment to the President's tax legislation by Sen. Bayh (D-Ind.) attempted to reduce from 20% to 5% the accelerated depreciation tax write-off for big business and provide instead a one-year tax credit of $25 each to individual taxpayers. The Bayh amendment was narrowly defeated on Nov. 15, 1971 by a 39-40 vote. For - right. Against - wrong."
1971,Senate,92,1,8,H.R.,10947,HR10947-92,Anti-COPE,amendment,1971-11-19,Rejected,31,61,N,Y=Wrong; N=Right,332,https://voteview.com/rollcall/RS0920332,,4,"Carrying the cudgel for the National Right to Work Committee, Sen. Fannin (R-Ariz.) introduced an amendment to deny tax exempt status to any labor organization with a union shop agreement which used any of its income to support or oppose a political candidate. The proposal was rejected Nov. 19, 1971 by a 31-61 vote. For - wrong. Against - right."
1971,Senate,92,1,9,H.R.,10947,HR10947-92,Campaign Financing,amendment,1971-11-22,Adopted,52,47,Y,Y=Right; N=Wrong,354,https://voteview.com/rollcall/RS0920354,,4,"By providing for the federal financing of presidential campaign costs the excessive influence of big money on our political system would be effectively reduced. A proposal to this effect was introduced by Sen. Pastore (D-R.I.) as an amendment to the tax law. It would allow taxpayers to voluntarily earmark one dollar of their federal taxes to the presidential campaign of their choice. Although approved by the Senate on Nov. 22, 1971 by a 52-47 vote, the checkoff provision will not take effect until after the 1972 elections. For - right. Against - wrong."
1971,Senate,92,1,10,,,,Butz Nomination,confirmation,1971-12-02,Passed,51,44,N,Y=Wrong; N=Right,397,https://voteview.com/rollcall/RS0920397,,4,"Planning to plow under the family farm, the President nominated Dr. Earl Butz to Secretary of Agriculture. Butz, a leading spokesman for agribusiness, foe of food stamps and consumers, was opposed by the AFL-CIO and most farm groups. He was approved on Dec. 2, 1971 by a 51-44 vote. For - wrong. Against - right."
1971,Senate,92,1,11,,,,Rehnquist Nomination,confirmation,1971-12-10,Passed,68,26,N,Y=Wrong; N=Right,417,https://voteview.com/rollcall/RS0920417,,4,"Continuing his pursuit of an ultra-conservative Supreme Court, Pres. Nixon nominated William H. Rehnquist to fill a vacancy. Rehnquist's unswerving opposition to civil rights and the Bill of Rights marked him as an extremist. A liberal, labor, civil rights coalition opposed his nomination. The nomination however was approved by the Senate Dec. 10, 1971 by a 68-26 vote. For - wrong. Against - right."
