year,chamber,congress,session,aflcio_num,bill_type,bill_number,bill_id,bill_title,vote_question,date,result,yea_total,nay_total,aflcio_position,aflcio_label,voteview_rollnumber,voteview_url,corrections,source_page,aflcio_description
1993,Senate,103,1,1,H.R.,1335,HR1335-103,Stimulus/Jobs,cloture,1993-04-21,Rejected,56,43,Y,Y=Right; N=Wrong,105,https://voteview.com/rollcall/RS1030105,,8,"The nation's economy was still suffering the effects of the Bush recession in early 1993. Millions of Americans were out of work and many, many more were jobless for a longer time than in past recessions. While there were some signs of a possible recovery, few new jobs were being created. The toll of trickle-down economics was being paid by American working men and women. When President Clinton took office, one of his major goals was to stimulate a stalled economy and create new jobs. He submitted, and the AFL-CIO backed, legislation (H.R. 1335) aimed at quickly creating jobs through infrastructure investment and other projects. As proposed, the stimulus bill would have created up to 500,000 new, mostly public works jobs while establishing a summer jobs program aimed at inner city youth, a program to hire and train 10,000 new police officers, and a new child immunization program. When the bill reached the Senate after House approval, the Republican minority quickly began a filibuster in an attempt to derail a package that they knew they couldn't defeat on a simple majority vote. Four attempts to achieve cloture and end the filibuster (which requires a three-fifths majority) failed. The fourth and last attempt failed by a 56-43 vote on April 21. For cloture - Right. Against cloture - Wrong."
1993,Senate,103,1,2,H.R.,20,HR20-103,Hatch Act Reform,passage,1993-07-20,Passed,68,31,Y,Y=Right; N=Wrong,201,https://voteview.com/rollcall/RS1030201,"bill follows the roll call: the card cites S. 185, but the passage vote of 20 July was on H.R. 20, which the Senate substituted into and passed 68-31",8,"Before Hatch Act reform legislation was signed into law in 1993, federal and postal employees had been denied the same political and Constitutional rights other Americans enjoy and exercise in the political process for more than 50 years. Under those Hatch Act regulations, three million postal and federal employees were prohibited from participating in a variety of political activities not just on the job, but during their free time as well. For example such workers could not hand out campaign literature, solicit votes or hold office in a political party. Hatch Act reform legislation, (S. 185) backed by the AFL-CIO, lifts many of the Hatch Act's political restrictions. Federal and postal workers will now have the freedom to endorse political candidates, organize phone banks to urge their election, distribute campaign literature, solicit political contributions and engage in most other political activity. The legislation continues the ban against engaging in these activities while at work, prohibits workers from using official influence or information for partisan political purposes and bans government and postal workers from wearing political campaign buttons while on duty and in government buildings. The Senate passed S. 185 July 20 by a 68-31 vote. It was later signed into law. For - Right. Against - Wrong."
1993,Senate,103,1,3,H.R.,2518,HR2518-103,Davis-Bacon/Helpers and Apprentice Programs,amendment,1993-09-28,Adopted,60,39,Y,Y=Right; N=Wrong,289,https://voteview.com/rollcall/RS1030289,,8,"When introduced, the FY 1994 Labor and Health and Human Services appropriations bill (H.R. 2518) contained language which prohibited the Department of Labor from spending any money to implement two regulations which were promulgated and approved under the Bush administration. The regulations concerned helpers on Davis-Bacon projects and the administration of apprenticeship programs. The Davis-Bacon Act requires prevailing wages for ""laborers and mechanics"" (also known as journeymen) on federal and federally-funded construction projects. The first proposed regulation called for a new category of ""helpers"" thereby creating a new class of workers who, unlike laborers, would have no formal training and toil at low wages with no hope of advancement within the construction industry. The regulations would also result in severely reducing the level of employment for laborers. The second regulation, if implemented, would weaken and disrupt the long-standing rules governing the operation of state apprenticeship programs. The worst aspect of the apprenticeship regulation would effectively undercut the authority of the state apprenticeship agencies and force them to accept lower federal standards for training programs. In an attempt to block an expected effort to strip the language from the bill, the Sentate voted September 28 (60-39) to maintain those provisions. The bill was later signed into law. For - Right. Against - Wrong."
1993,Senate,103,1,4,H.R.,2750,HR2750-103,Cargo Preference,motion to table,1993-10-05,Agreed to,50,49,Y,Y=Right; N=Wrong,304,https://voteview.com/rollcall/RS1030304,,9,"The U.S. merchant marine has suffered through years of neglect. Always expected to be available in times of a military emergency, such as the Persian Gulf War, the U.S.-flag fleet has seen its support from the government dwindle to almost nothing. The number of ships flying the U.S. flag and the Americans crewing those ships has dropped to an all-time low. Tens of thousands of jobs have been lost to ""flag of convenience"" carriers who pay abysmally low wages to third and fourth world crews - usually a small fraction of the U.S. minimum wage, let alone anywhere near what a skilled seafarer earns. Many U.S. government shipments are carried by these flag of convenience ships. But cargo preference laws require that a certain percentage of foreign aid and military cargos be shipped on U.S. vessels. During consideration of the FY 1994 Transportation appropriations bill (H.R. 2750), an amendment was offered which would have banned the government from using U.S.-flag ships if the costs were more than twice as high as the low-wage flag of convenience ships. The amendment was tabled October 5 by a 50-49 vote. For tabling - Right. Against tabling - Wrong."
1993,Senate,103,1,5,H.R.,3167,HR3167-103,Extended Unemployment Benefits/Means Testing,amendment,1993-10-27,Adopted,52,43,N,Y=Wrong; N=Right,336,https://voteview.com/rollcall/RS1030336,,9,"While the economy began to show stronger signs of recovery as 1993 came to an end, about a quarter of a million jobless Americn workers were exhausting their normal 26 weeks of unemployment benefits every month in the summer and fall of 1993. Long term unemployment was expected to continue to be a major problem. Job creation was lagging far behind what it had been following the previous two recession low points. Millions of workers were not finding new jobs before their 26 weeks of state unemployment benefits ran out. An extended benefits program granting extra weeks of benefits had been operating since the height of the Bush recession. Extended several times, it expired October 1. The AFL-CIO supported legislation (H.R. 3167) which would continue the program through March 1994. But action on the bill slowed as the Senate debated controversial amendments. An amendment offered by Sen. Hank Brown (R-CO) would have established for the first time means testing for a social insurance program by denying benefits to anyone who had earned $120,000 in the previous year. The AFL-CIO was opposed to the amendment because of the precedent it would set; allowing means testing for a social insurance program. But it was approved October 27 by a 52-43 vote. It was later dropped in conference and the bill was signed into law. For - Wrong. Against - Right."
1993,Senate,103,1,6,H.R.,3167,HR3167-103,Extended Unemployment Benefits/Federal Workforce Reduction,motion to recommit,1993-11-20,Rejected,36,63,N,Y=Wrong; N=Right,391,https://voteview.com/rollcall/RS1030391,,9,"During consideration of the conference report on H.R. 3167 (see above) Sen. Phil Gramm (R-TX) made a motion to recommit the bill to conference with instructions to add an amendment which had been dropped in conference. The amendment mandated a 252,000 federal workforce reduction. The AFL-CIO opposed the amendment because it could seriously damage the federal workforce and the delivery of services. The Clinton administration had called for a similar reduction earlier in the year, but that reduction is expected to be achieved after careful consideration of its impact on the workers involved and the services they provide. The reduction will also follow consultation with the unions involved to develop a program of early retirement and buy outs. The Gramm amendment did not provide the opportunity for any such careful action and could have resulted in wholesale firings. The motion to recommit failed November 20 by a 36-63 vote. For recommitment - Wrong. Against recommitment - Right."
1993,Senate,103,1,7,H.R.,3450,HR3450-103,NAFTA,passage,1993-11-20,Passed,61,38,N,Y=Wrong; N=Right,395,https://voteview.com/rollcall/RS1030395,,10,"In the past decade, hundreds of thousands of American workers have seen their factory doors slammed shut and their jobs shipped to Mexico, where U.S. firms set up new plants to take advantage of that nation's inexpensive labor pool and lax enforcement of workers' rights laws and workplace safety and environmental regulations. In some cases, U.S. workers have been told to crate up their manufacturing machinery and load it onto trucks headed for the border. Before being voted out of office, President Bush completed negotiations for a North American Free Trade Agreement (NAFTA) which gave great protection to the investments American firms had already made in Mexico, while it offered no such protection for the U.S. workers or the political rights of workers in Mexico. It also reduced many tariffs and duties for trade between the three North American nations. That gives American firms an even larger inducement to ship their jobs to Mexico. As many as 500,000 American jobs are at stake. President Clinton backed NAFTA, but said he would try to alleviate labor's concerns through a set of side agreements on worker rights and the environment and offered a new dislocated worker program. When completed, those provisions provided little, if any, help for workers and citizens on either side of the border. The dislocated worker program was grossly inadequate. A massive and heartfelt grassroots campaign against NAFTA led by union members captured the headlines of the nation's newspapers and almost overcame the power of the White House and corporate America. But the Senate approved the treaty November 20 61-38. It was later signed into law. For - Wrong. Against - Right."
1993,Senate,103,1,8,H.R.,1,HR1-103,Family and Medical Leave,passage,1993-02-04,Passed,71,27,Y,Y=Right; N=Wrong,11,https://voteview.com/rollcall/RS1030011,"bill follows the roll call: the card cites S. 5, but the passage vote of 4 Feb was on H.R. 1",10,"Many workers have risked their jobs when forced to take time off for the birth or adoption of a child or to care for a sick child, spouse or parent. Unlike all other industrialized nations, the United States had no national policy on family leave. If a worker was not covered by a union contract, he or she had to depend on the whims of the employer for time off for serious family problems. When the first family and medical leave legislation was introduced in 1985, the AFL-CIO stood firmly behind it. Like wage and hour laws and workplace safety mandates, the family leave standard should be considered a minimum labor standard. But two successful vetoes and massive resistance from the business community stalled the legislation for eight years. The Family and Medical Leave Act of 1993 (S. 5) was one of the first bills set for action in 1993. It allows workers at firms of 50 or more employees up to 12 weeks of unpaid, but job protected leave - for the birth or adoption of a child, the serious illness of a child, spouse, parent or the worker's own illness. In addition, the worker's health benefits continue during the leave. The Senate passed the bill February 4 by a 71-27 vote. It was signed into law. For - Right. Against - Wrong."
1993,Senate,103,1,9,S.,460,S460-103,"""Motor Voter""",cloture,1993-03-16,Rejected,59,41,Y,Y=Right; N=Wrong,33,https://voteview.com/rollcall/RS1030033,,11,"The AFL-CIO has long backed improvement in federal election laws aimed at increasing voter turnout. One proven way to do that is to ease voter registration restrictions. Almost 40 percent of eligible voters are not registered. The main reason so many are not is the myriad of state regulations. Voter turnout has been steadily decreasing for years. While the 1992 three-way presidential race generated a higher than usual turnout, most experts considered that an aberration. Most other nations have about an 80 percent voter turnout, but they also have some form of automatic voter registration. S. 460 the ""motor voter"" bill requires states to establish procedures permitting citizens to register to vote when applying for drivers' licenses and various licenses and permits at state and federal offices. It also requires states to establish mail-in voter registration. Republicans led a filibuster against the bill. A cloture motion, which requires a three-fifths majority to end a filibuster, failed March 16 by a 59-41 vote. Cloture was achieved later in the spring and the bill was passed and signed into law. For cloture - Right. Against cloture - Wrong."
1993,Senate,103,1,10,S.,3,S3-103,Campaign Finance Reform,amendment,1993-05-26,Adopted,85,12,N,Y=Wrong; N=Right,125,https://voteview.com/rollcall/RS1030125,,11,"For years the AFL-CIO has supported efforts to change federal election laws in an effort to clean up the way political campaigns are financed. Some of the reform ideas backed by the AFL-CIO include candidate expenditure and personal contribution limits, developing a public financing formula, closing current loopholes that are used to evade present contribution limits and an overall limit on the amount a candidate is permitted to accept in political action committee (PAC) contributions. But the Senate version of proposed campaign finance reform does not address the real issues of reform. While it called for the ban on all PAC donations - even those built upon the small donations of union members - it keeps the door open for wealthy fat cats who can afford to drop up to $25,000 a year on campaign contributions to political candidates. Small contributor PACs afford the only opportunity for working people to effectively participate in the funding of campaigns in the absence of public financing. The main result of such a ban on PACs, if it stands, will be to prohibit low- and middle-income workers from combining their limited resources to gain a political voice, while permitting upper-income individuals to maintain access and influence. So long as contribution limits are beyond the means of working people, PACs are necessary to maintain a political balance. On May 26 the Senate approved (85-12) an amendment to S. 3 calling for a ban on all PAC donations. The bill was then passed. The House also passed a reform bill which maintains PAC donations and a conference is expected in 1994. For - Wrong. Against - Right."
1993,Senate,103,1,11,H.R.,2264,HR2264-103,Budget Reconciliation,conference report,1993-08-06,Adopted,50,50,Y,Y=Right; N=Wrong,247,https://voteview.com/rollcall/RS1030247,"tally corrected from the printed 50-49: roll 247 is 50-50 among senators, all 100 voting, and 51-50 with Vice President Gore, whose affirmative vote Voteview's dtl_desc records; the card's own '49-49 tie' is one short on each side",12,"President Clinton's five-year plan to slash almost $500 million from the federal deficit was centered on cuts in federal programs and an increase on taxes for the wealthy and corporations. These provisions and many others were contained in the budget reconciliation bill, a complex and vast piece of legislation. The AFL-CIO supported the bill, H.R. 2264, as a step in moving the nation toward tax fairness. The legislation was aimed at invigorating the U.S. economy through careful deficit reduction, combined with selective investments in the public infrastructure and progressive revenue increases for those who are most able to pay. The legislation raises taxes on corporations and on those with taxable incomes of more than $140,000. At the same time it expands the Earned Income Tax Credit for low-income taxpayers. It also extends the employee tax exemption for employer-provided education benefits and tightens the tax breaks for ""runaway"" companies which relocate in Puerto Rico. The Senate approved the conference report on the bill August 6 by a 50-49 vote with Vice President Al Gore breaking a 49-49 tie. It was signed into law. For - Right. Against - Wrong."
